Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Achalinus,jinggangensis,355–460,23,k/Kt,156–164,E,51–64,1,17.3–21.7,940,0,–
Achalinus,juliani,303–413,23,k/Kt,163–179,E,77–91,1,22.4–26.8,470–1590,0,–
Achalinus,meiguensis,267–555,19–23,k/Kt,146–173,E,39–62,1,14.2–23.8,1200–2520,0,–
Achalinus,nanshanensis,399–461,23–25,k/Kt,147–158,E,64–77,1,21.5–24.8,300–1665,0,–
Achalinus,niger,252–730,25,k/Kt,165–185,E,48–72,1,15.1–27.5,1000–3000,0,7–21
Achalinus,ningshanensis,207–660,22–23,k/Kt,155–177,E,41–65,1,12.1–22.6,735–1895,0,–
Achalinus,panzhihuaensis,257,23,k/Kt,160,E,73,1,24.6,1625,0,–
Achalinus,pingbianensis,429,23,k/Kt,164–167,E,48–56,1,20.0–24.3,1970,0,–
Achalinus,quangi,129–412,23,k/Kt,139–154,E,69–84,1,21.9–30.4,400–850,0,–
Achalinus,rufescens,108–419,23–25,k/Kt,131–165,E,54–82,1,17.3–29.1,300–1500,0,4–12
Achalinus,sheni,271–416,23,k/Kt,156–174,E,45–62,1,14.9–22.4,350–410,0,–
Achalinus,spinalis,100–600,21–25,k/Kt,138–176,E,39–68,1,13.3–31.9,90–2000,0,2–11
Achalinus,timi,178,25,k/Kt,170,E,72,1,21.3,1470,0,–
Achalinus,tranganensis,448,23,k/Kt,171,E,73+,1,~ 25.4,10,0,–
Achalinus,vanhoensis,561,23,k/Kt,176,E,84,1,26.4,1120,0,–
Achalinus,werneri,250–600,21–23,k/Kt,140–191,E,67–98,1,22.1–30.3,10,0,3–18
Achalinus,yangdatongi,326–517,23,k/Kt,155–171,E,59–82,1,18.0–26.2,1610,0,–
Achalinus,yunkaiensis,232–448,23,k/Kt,144–162,E,49–56,1,15.6–20.4,900–1600,0,–
Achalinus,zugorum,458,23,k/Kt,173,E,70,1,22.9,230,0,–
Acrantophis,dumerili,390–3000,59–68,S,225–236,E,30–35,2,5.6–8.8,0–1325,1,2–25
Acrantophis,madagascariensis,420–3200,61–77,S,221–238,E,34–41,2,7.2–8.7,200–1075,1,1–8
Acrochordus,arafurae,345–2100,121–180,K,1512,U,245,U,7.2–15.5,–5 to 370,1,10–32
Acrochordus,granulatus,128–1620,48–212,K,1767–2293,U,146–206,U,5.7–13.8,–20 to 315,1,1–12
Acrochordus,javanicus,290–2900,120–150,K,566–1165,U,251,U,11.7–20.8,–10 to 270,1,5–72
Acutotyphlops,banaorum,125–333,26,S,352–361,U,18–20,U,3.6–4.0,900–1050,0,–
Acutotyphlops,infralabialis,115–372,26–28,S,418–526,U,13–24,U,1.0–5.3,15–400,0,–
Acutotyphlops,kunuaensis,101–373,30–36,S,360–542,U,10–298,U,1.8–6.7,0–915,0,1–2
Acutotyphlops,solomonis,164–487,29–34,S,334–424,U,16–29,U,2.9–7.7,0–50,0,–
Acutotyphlops,subocularis,191–394,32–36,S,363–472,U,12–28,U,3.0–6.3,25–1065,0,–
Adelphicos,daryi,125–574,15,S,120–133,D,19–22,2,9.1–10.8,1300–2135,0,–
Adelphicos,ibarrorum,342–521,15,S,135–138,D,21–26,2,9.3–12.3,2000–2100,0,–
Adelphicos,latifasciatum,310–437,15,S,125–142,D,33–51,2,13.1–22.3,1125–1680,0,–
Adelphicos,newmanorum,100–395,15,S,130–155,D,41–51,2,18.0–19.7,360–1605,0,6
Adelphicos,nigrilatum,100–452,15,S,113–135,D,21–37,2,10.3–18.9,2200–2900,0,–
Adelphicos,quadrivirgatum,84–405,15,S,117–155,D,29–59,2,11.0–28.5,60–1900,0,3–6
Adelphicos,sargii,90–344,15,S,119–147,D,20–38,2,11.2–15.9,500–1550,0,–
Adelphicos,veraepacis,158–461,15,S,120–142,D,24–41,2,10.0–13.4,1200–2200,0,–
Adelphicos,visoninum,322–485,15,S,126–148,D,36–49,2,12.8–17.0,5–1600,0,–
Adelphostigma,miolepis,440–473,15,S,168–197,D,55–85,2,21.5–26.1,2725,0,–
Adelphostigma,occipitalis,181–589,15,S,158–191,D,55–88,2,20.2–37.9,5–2060,0,2
Adelphostigma,quadriocellatus,434–550,15,S,178–192,D,72–86,2,25.7–29.0,45,0,–
Adenorhinus,barbouri,164–369,19–23,K,115–127,E,15–23,1,6.7–12.0,1700–1980,0,7–10
Aeluroglena,cucullata,278–375,21,S,188–223,D,67–80,2,20.0–27.8,150–1400,0,–
Afronatrix,anoscopus,190–798,21–27,Ks,134–159,D,56–75,2,23.8–26.0,5–1395,0,–
Afrotyphlops,angolensis,148–703,24–36,S,281–578,U,7–14,U,1.3–2.1,10–2075,0,–
Afrotyphlops,anomalus,119–540,28,S,365–431,U,9,U,1.4–2.1,600–1735,0,–
Afrotyphlops,bibronii,100–484,30–34,S,363–453,U,7–12,U,1.3–2.1,0–2000,0-1,2–14
Afrotyphlops,blanfordii,106–355,28–32,S,320–433,U,6–10,U,1.0–2.4,980–2450,0,–
Afrotyphlops,brevis,164–765,29–40,S,288–557,U,6–10,U,1.2–2.2,0–2000,0,–
Afrotyphlops,chiroi,135–154,24–26,S,325–344,U,10,U,2.6–3.8,500–600,0,–
Afrotyphlops,congestus,210–765,24–30,S,310–416,U,6–14,U,1.5–2.6,5–1800,0,–
Afrotyphlops,elegans,271–420,18–20,S,315–349,U,8–13,U,1.9–2.6,10–1395,0,–
Afrotyphlops,fornasinii,87–195,22–27,S,232–286,U,6–12,U,1.4–2.3,20–100,0,–
Afrotyphlops,gierrai,174–480,26–30,S,372–464,U,10–13,U,1.3–1.7,600–1500,0,–
Afrotyphlops,kaimosae,208–215,28,S,390–391,U,9,U,1.2–1.9,1670,0,–
Afrotyphlops,liberiensis,135–950,24–30,S,339–436,U,8–11,U,1.6–1.9,30–600,0,–
Afrotyphlops,lineolatus,103–640,24–30,S,295–505,U,6–14,U,1.3–2.9,5–2600,0,–
Afrotyphlops,mucruso,122–950,30–40,S,307–517,U,6–10,U,0.8–2.1,0–1740,0,15–50
Afrotyphlops,nanus,118–125,30–32,S,284–291,U,10–11,U,2.1–2.4,240–295,0,–
Afrotyphlops,nigrocandidus,300–573,28–34,S,464–542,U,11–13,U,1.4–2.3,1450–1750,0,–
Afrotyphlops,nigrolineatus,207–690,24–28,S,320–368,U,16–29,U,1.7–2.0,500,0,–
Afrotyphlops,obtusus,163–380,22–26,S,406–507,U,4–10,U,0.7–1.3,600–1415,0,–
Afrotyphlops,punctatus,112–660,28–34,S,342–465,U,6–16,U,1.0–2.3,5–1900,0,–
Afrotyphlops,rondoensis,164–410,22–26,S,312–379,U,9–11,U,1.3–2.4,375–825,0,–
Afrotyphlops,rouxestevae,525,30,S,558,U,10,U,1.3,20–50,0,–
Afrotyphlops,schlegelii,144–900,32–45,S,332–624,U,7–10,U,1.2–2.2,0–1775,0,7–60
Afrotyphlops,schmidti,146–605,22–26,S,317–374,U,7–11,U,1.4–2.4,585–1655,0,–
Afrotyphlops,steinhausi,236–430,25–28,S,352–430,U,5–10,U,1.1–2.4,0–800,0,–
Afrotyphlops,tanganicanus,169–390,21–24,S,352–425,U,8,U,1.4–1.7,25–470,0,–
Afrotyphlops,usambaricus,279–605,26–28,S,344–390,U,8–11,U,1.4–2.3,750,0,–
Agkistrodon,bilineatus,150–1380,21–25,K,127–144,E,52–71,3,15.3–27.0,70–1670,1,3–20
Agkistrodon,conanti,270–1892,23–27,K,131–143,E,41–52,3,13.0–20.0,0–315,1,1–20
Agkistrodon,contortrix,150–1346,21–25,K,138–157,E,37–62,3,10.0–24.7,0–1525,1,1–20
Agkistrodon,howardgloydi,230–960,23–25,K,128–135,E,50–68,3,17.0–21.0,0–600,1,8–20
Agkistrodon,laticinctus,225–1346,21–25,K,138–154,E,40–54,3,11.0–17.0,30–505,1,3–11
Agkistrodon,piscivorus,171–1880,23–27,K,127–143,E,39–71,3,10.0–23.9,0–765,1,1–20
Agkistrodon,russeolus,300–1050,23–25,K,131–141,E,46–62,3,14.0–20.0,0–250,1,12
Agkistrodon,taylori,172–960,21–23,K,127–138,E,40–56,3,13.0–20.0,170–2050,1,3–11
Ahaetulla,anomala,522–1571,15,S,170–189,D,142–174,2,32.4–46.8,20–420,1,15
Ahaetulla,borealis,1067–1500,15,S,174–181,D,142–157,2,35.2–40.7,65–1300,1,15–18
Ahaetulla,dispar,617–788,15,S,136–159,D,103–125,2,27.9–35.2,610–2600,1,4–11
Ahaetulla,farnsworthi,630–1021,15,S,167–177,D,126–165,2,38.7–39.8,500–1345,1,–
Ahaetulla,fasciolata,1167–1690,15,S,211–240,E(D),178–197,2,26.2–36.6,10–1000,1,–
Ahaetulla,flavescens,678–1335,15,S,194–206,D,155–183,2,32.7–37.3,115–345,1,3–10
Ahaetulla,fronticincta,800–980,15,S,168–196,D,115–151,2,27.2–32.3,45–2140,1,7–9
Ahaetulla,fusca,800–1310,15,S,174–200,D,129–163,2,28.2–39.4,5–110,1,–
Ahaetulla,isabellina,987–1020,15,S,167–183,D,135–181,2,35.8–41.6,90–1475,1,–
Ahaetulla,laudankia,490–1315,15,S,191–202,D,153–185,2,32.1–35.4,80–685,1,–
Ahaetulla,longirostris,1133–1275,15,S/k,193–207,D,139–163,2,32.9–33.5,135–255,,–
Ahaetulla,malabarica,1074–1500,15,S,167–183,D,124–155,2,29.4–38.4,650–1400,1,–
Ahaetulla,mycterizans,263–1449,15,S,186–195,E(D),122–168,2,28.3–38.0,0–500,1,8–11
Ahaetulla,nasuta,200–2660,15,S,135–207,D,129–180,2,25.6–40.0,0–2500,1,2–23
Ahaetulla,oxyrhyncha,1545–2000,15,S,170–189,D,142–174,2,34.6–40.5,610–865,1,
Ahaetulla,perroteti,427–596,15,S/k,133–156,D,59–86,2,23.0–31.6,700–2800,1,2–10
Ahaetulla,prasina,240–1970,15,S,176–241,D(E),139–213,2,26.0–42.6,5–2100,1,1–20
Ahaetulla,pulverulenta,435–2450,15,S,176–203,D,151–208,2,27.6–40.9,30–2040,1,3–12
Ahaetulla,rufusoculara,729–1085,15,S/k,182–190,E,128–153,2,31.0–35.2,0–10,1,–
Ahaetulla,sahyadrensis,608–1765,14–15,S,179–203,D,162–208,2,37.7–40.3,525–1500,1,–
Ahaetulla,travancorica,642,15,S,153,D,130,2,37.7,1000–1500,1,–
Aipysurus,aparefrontalis,523–1080,17,Stk,139–160,D,18–35,1,8.7–11.6,–65 to 0,1,–
Aipysurus,duboisii,471–1480,17–19,Stk,149–188,D,15–35,1,10.7–15.3,–80 to 0,1,2–7
Aipysurus,eydouxii,268–950,16–17,S,124–150,D,21–35,1,10.7–21.0,–60 to 50,1,1–12
Aipysurus,foliosquama,645–1065,17–21,S,139–156,D,19–30,1,9.6–13.5,–20 to 0,1,2
Aipysurus,fuscus,287–960,17–21,S,155–180,D,20–40,1,12.8–16.5,–30 to 10,1,–
Aipysurus,laevis,305–1850,19–25,St,135–162,D,22–35,1,10.1–21.2,–135 to 40,1,1–11
Aipysurus,mosaicus,260–1100,17,S,140–157,D,25–38,1,13.6–15.7,–50 to 50,1,1–5
Aipysurus,pooleorum,943–1140,20–25,S,146–159,D,25–33,1,12.9–14.3,–30 to 0,1,–
Aipysurus,tenuis,1020–1300,19,S,185–194,D,33–40,1,8.9–13.3,–40 to 0,1,–
Alluaudina,bellyi,240–447,25,K,153–161,E,57–70,1,21.7–23.9,400–650,0,5–6
Alluaudina,mocquardi,350–500,25,K,202–205,E,88–91,1,22.2–34.6,5–50,0,–
Alopecion,guttatum,336–680,21–25,S,186–230,E,46–72,2,14.5–22.2,5–2350,0,3–6
Alsophis,antiguae,793–914,19–21,S,184–201,D,95–126,2,27.5–33.7,0–30,0,5–11
Alsophis,antillensis,1290–1470,19–23,S,184–220,D,94–144,2,23.1–32.6,25–1400,0,5
Alsophis,danforthi,940,19,S,207,D,141,2,35.5,10–20,0,–
Alsophis,manselli,510–974,19–21,S,198–208,D,115–134,2,26.3–40.0,25–1235,0,5
Alsophis,rijgersmaei,537–1035,21,S,197–208,D,93–122,2,21.7–32.2,15–255,0,–
Alsophis,rufiventris,946–1500,21–23,S,204–220,D,94–122,2,18.0–30.1,40–700,0,–
Alsophis,sanctorum,702–1067,19,S,195–206,D,128–139,2,26.5–34.8,0–260,0,–
Alsophis,sibonius,622–1259,19,S,191–201,D,112–122,2,27.8–33.2,45–1425,0,–
Amastridium,sapperi,208–724,17,Sk,144–170,D,77–90,2,20.0–33.5,100–1600,0,–
Amastridium,veliferum,206–724,17,Sk,111–134,D,68–86,2,24.4–33.8,20–1200,0,–
Amblyodipsas,dimidiata,300–515,17,S,192–219,D,19–27,2,6.0–8.6,600–1000,0,–
Amblyodipsas,katangensis,203–405,15,S,165–207,D,15–27,2,5.2–10.0,40–650,0,2–3
Amblyodipsas,lineatus,447–720,17,S,201–248,D,25–37,2,7.1–9.9,50–460,0,3–4
Amblyodipsas,microphthalma,250–450,15,S,120–163,D,18–31,2,8.0–12.5,5–450,0,–
Amblyodipsas,polylepis,293–1120,15–21,S,154–215,D,15–31,2,5.1–13.2,55–1455,0,3–7
Amblyodipsas,rodhaini,305–439,15,S,199–219,D,22–29,2,6.2–9.6,590–1125,0,–
Amblyodipsas,teitana,300–434,17,S,180–202,D,16–20,2,5.5–6.8,1150,0,–
Amblyodipsas,unicolor,117–1140,17,S,161–214,D,17–41,2,3.6–17.9,15–1500,0,7
Amblyodipsas,ventrimaculata,145–480,15,S,172–205,D,17–27,2,5.9–10.7,950–1435,0,2–6
Amerotyphlops,amoipira,73–297,18–20,S,203–242,U,7–12,U,1.4–3.4,425–555,0,–
Amerotyphlops,arenensis,191–250,18,S,204–225,U,8–13,U,3.7–6.8,600,0,7–8
Amerotyphlops,brongersmianus,84–383,20,S,195–287,U,8–14,U,1.8–4.2,0–1300,0,4–11
Amerotyphlops,caetanoi,176,18,S,212,U,9,U,2.5,495,0,–
Amerotyphlops,costaricensis,177–385,20,S,390–417,U,7–9,U,1.2–2.4,150–1600,0,–
Amerotyphlops,illusorium,207–229,20,S,221–230,U,10–12,U,2.6–3.0,30–1500,0,–
Amerotyphlops,lehneri,115–200,18–20,S,289–337,U,7–14,U,0.8–2.0,30–500,0,–
Amerotyphlops,martis,130–170,20,S,208–217,U,10–12,U,3.9–4.0,5,0,–
Amerotyphlops,microstomus,144–366,18,S,478–566,U,5–10,U,0.4–1.4,10–200,0,–
Amerotyphlops,minuisquamus,152–361,16–18,S,190–253,U,6–11,U,1.9–3.2,0–250,0,–
Amerotyphlops,montanum,216,20,S,220,U,11,U,2.5,235,0,–
Amerotyphlops,paucisquamus,133–198,18,S,162–209,U,8–11,U,2.6–3.8,10,0,3–4
Amerotyphlops,reticulatus,38–522,20,S,213–301,U,7–15,U,1.5–4.3,0–750,0,10
Amerotyphlops,stadelmani,112–310,18,S,341–369,U,7–12,U,1.0–2.4,320–1370,0,–
Amerotyphlops,tasymicris,181–196,20,S,408–429,U,5–8,U,1.3–1.4,15–1500,0,–
Amerotyphlops,tenuis,110–342,18,S,347–429,U,7–14,U,1.1–2.4,0–1520,0,–
Amerotyphlops,trinitatus,158–240,20,S,387–389,U,7–10,U,1.2–1.3,10–300,0,–
Amerotyphlops,tycherus,371–386,22,S,395,U,6–11,U,1.5,1400–1550,0,–
Amerotyphlops,yonenagae,96–168,18,S,250–277,U,9–10,U,2.0–2.4,415–835,0,–
Amnesteophis,melanauchen,375,15,Ks,145,D,60,2,25.3,30,0,–
Amnisiophis,amoenus,337–992,17,S,137–143,D,92–94,2,30.4–34.1,70–1515,0,–
Amphiesma,monticola,289–599,19,K,132–145,D(E),78–92,2,23.5–31.6,500–2100,0,5
Amphiesma,stolatum,90–800,17–19,K,117–162,D,46–92,2,14.8–29.0,20–2000,0,1–16
Amphiesmoides,ornaticeps,800–932,19,K,157–168,D,114–132,2,23.1–37.9,150–720,0,–
Amplorhinus,multimaculatus,120–650,17,Sa,135–170,E,34–92,3,21.3–35.7,0–2590,1,4–13
Anguiculus,dicaprioi,378–572,15,S,176–192,D,57–66,2,18.5–25.5,340–2155,0,–
Anguiculus,rappii,185–431,15,S,179–189,D,59–75,2,18.7–27.0,2135–2970,0,–
Anilios,affinis,110–279,18,S,278–503,U,10–19,U,1.2–3.3,60–235,0,3
Anilios,ammodytes,97–352,20,S,397–506,U,8–18,U,1.2–5.1,0–800,0,–
Anilios,aspina,232–281,18,S,193–438,U,10–16,U,1.1–2.3,280,0,–
Anilios,australis,60–500,22,S,296–401,U,10–20,U,1.6–5.2,0–480,0,2–11
Anilios,batillus,320,24,S,557,U,21,U,2.2,145,0,–
Anilios,bicolor,185–500,22,S,300–380,U,12–14,U,2.0–5.0,0–635,0,–
Anilios,bituberculatus,111–460,20–22,S,425–589,U,11–27,U,1.2–3.3,0–920,0,2–9
Anilios,broomi,173–260,20,S,445–510,U,10–16,U,1.3–2.5,30–615,0,–
Anilios,centralis,165–320,20,S,425–514,U,12–20,U,1.5–3.1,425–800,0,–
Anilios,chamodracaena,114–210,18,S,480–537,U,13–16,U,1.0–3.0,0–120,0,–
Anilios,diversus,97–360,20,S,397–475,U,8–18,U,1.4–5.1,0–285,0,–
Anilios,endoterus,109–400,22,S,415–463,U,9–18,U,1.2–2.9,0–870,0,–
Anilios,erycinus,230–350,20,S,300–349,U,13–23,U,2.7–7.7,0–165,0,–
Anilios,fossor,245,20,S,514,U,11,U,2.0,500,0,–
Anilios,ganei,237–340,24,S,443–460,U,12–19,U,1.6–3.0,200–715,0,–
Anilios,grypus,124–530,18,S,523–713,U,11–36,U,1.1–4.4,5–480,0,3
Anilios,guentheri,120–400,18,S,535–620,U,9–15,U,1.1–2.7,0–450,0,2–4
Anilios,hamatus,88–430,22,S,348–408,U,11–22,U,1.7–4.1,0–440,0,2–9
Anilios,howi,210–228,18,S,434–543,U,10–16,U,1.6–2.9,35–230,0,–
Anilios,insperatus,97,16,S,442,U,19,U,2.8,60,0,–
Anilios,kimberleyensis,220–296,22,S,425–524,U,10–20,U,1.7–2.2,0–455,0,–
Anilios,leptosoma,125–400,16–18,S,583–798,U,13–30,U,1.2–4.0,0–275,0,–
Anilios,leucoproctus,170–250,20,S,377–426,U,14–17,U,1.9–2.4,20–240,0,–
Anilios,ligatus,98–500,24,S,313–452,U,11–17,U,2.7–5.5,0–340,0,2–13
Anilios,longissimus,268–278,16,S,747–781,U,15,U,0.9,0,0,–
Anilios,margaretae,306,18,S,571,U,12,U,1.1,450–500,0,–
Anilios,micromma,205,18,S,493,U,15,U,2.4,280,0,–
Anilios,minimus,110–215,16,S,398–468,U,9–17,U,1.5–1.9,25–630,0,–
Anilios,nema,120–280,16,S,529–603,U,9–14,U,2.1–2.3,0–10,0,–
Anilios,nigrescens,103–750,22,S,396–470,U,11–20,U,2.0–6.4,0–1410,0,5–20
Anilios,nigricauda,120–315,18,S,479–555,U,8–17,U,1.0–1.1,0–210,0,–
Anilios,nigroterminatus,245–320,18,S,600–647,U,17–29,U,1.3–4.1,0–10,0,–
Anilios,obtusifrons,201–225,18,S,596–620,U,15–30,U,2.1–4.4,0–145,0,–
Anilios,pilbarensis,118–380,22,S,363–440,U,15–22,U,2.4–4.0,0–685,0,–
Anilios,pinguis,131–550,20,S,289–398,U,10–19,U,2.1–5.7,0–420,0,1–5
Anilios,proximus,194–750,20,S,321–378,U,10–23,U,1.4–4.1,0–1010,0,–
Anilios,robertsi,290,22,S,568,U,12,U,1.6,0,0,–
Anilios,silvia,72–210,20,S,293–334,U,14–21,U,2.0–5.3,0–160,0,–
Anilios,splendidus,512,20,S,377,U,13,U,2.6,10,0,–
Anilios,systenos,201–268,18,S,615–655,U,17–31,U,1.8–3.8,15–340,0,–
Anilios,torresianus,110–502,22,S,345–407,U,10–23,U,1.9–6.7,15–790,0,2–7
Anilios,tovelli,72–122,20,S,256–265,U,10–16,U,2.6–3.6,0–140,0,–
Anilios,troglodytes,400–402,22,S,601–655,U,12–14,U,1.3–1.8,10–425,0,–
Anilios,unguirostris,246–700,24,S,279–515,U,10–21,U,1.2–3.9,0–700,0,–
Anilios,vagurima,328,22,S,557,U,14,U,1.3,450,0,–
Anilios,waitii,127–620,20,S,548–693,U,13–26,U,1.0–3.1,245–1040,0,–
Anilios,wiedii,153–322,20,S,381–469,U,9–20,U,1.6–4.0,0–1005,0,1–8
Anilios,yampiensis,128,18,S,491,U,11,U,1.8,0,0,–
Anilios,yirrikalae,182–220,24,S,447–450,U,13,U,1.7,0,0,–
Anilios,zonula,157–187,18,S,446–482,U,11–15,U,2.0–2.5,25–115,0,–
Anilius,phelpsorum,500–879,21,S,208–224,E,12–14,1,4.0–4.3,50–700,1,–
Anilius,scytale,70–1184,19–21,S,225–266,E,9–15,1,2.4–6.2,30–700,1,2–37
Anomalepis,aspinosus,82–160,24–26,S,320–343,U,7–10,U,1.3–2.0,500–1000,0,10
Anomalepis,colombia,170–193,28–30,S,363–410,U,8–10,U,1.4–1.9,600–1700,0,–
Anomalepis,flavapices,140–153,26,S,308–317,U,9–10,U,2.1–2.4,10–50,0,–
Anomalepis,mexicanus,80–186,20–26,S,242–299,U,6–12,U,1.3–2.8,25–1030,0,7–13
Anomochilus,leonardi,227–390,17–19,S,214–252,D,6–7,2(3),2.4–2.9,50–1305,0,4
Anomochilus,monticola,475–521,19,S,258–261,D,7–8,2(3),2.3–2.5,1450–1515,0,–
Anomochilus,weberi,230–320,19,S,242–248,D,6–8,2(3),2.8–4.5,120–1000,0,4–10
Anoplohydrus,aemulans,430,19,S,159,D,34,2,13.0,5,0,–
Antaioserpens,albiceps,160–439,15,S,131–165,D,15–25,2,6.7–11.1,5–785,0,3–5
Antaioserpens,warro,241–451,15,S,129–150,D,14–23,2,6.1–12.0,15–500,0,1–5
Antaresia,childreni,211–1122,36–49,S,251–300,E,30–57,2,3.3–11.1,10–655,0,3–24
Antaresia,maculosa,234–1500,35–44,S,245–290,E,37–48,2,3.6–12.5,5–700,0,2–21
Antaresia,papuensis,525–1175,39–45,S,253–284,E,40–48,2,8.6–8.8,25–85,0,9
Antaresia,perthensis,170–800,31–35,S,202–255,E,30–45,2,7.9–11.5,30–1040,0,2–19
Antaresia,stimsoni,240–1400,35–50,S,243–306,E,30–64,2,8.8–11.5,5–805,0,6–19
Antillophis,parvifrons,192–730,19,S,142–169,D,101–141,2,33.3–42.7,10–2500,0,2–15
Antillotyphlops,annae,110,22,S,400–405,U,14,U,1.6,5,0,–
Antillotyphlops,catapontus,240–265,18–20,S,362–409,U,12,U,2.5–2.8,0–245,0,–
Antillotyphlops,dominicanus,170–389,22–24,S,390–499,U,11–13,U,1.5–2.6,20–150,0,–
Antillotyphlops,geotomus,180–221,22,S,329–367,U,12–13,U,2.2–3.3,0–80,0,–
Antillotyphlops,granti,85–210,16–18,S,370–421,U,9–12,U,1.8–2.3,0–100,0,–
Antillotyphlops,guadeloupensis,162–385,24,S,393–430,U,–,U,2.2,50–75,0,–
Antillotyphlops,hypomethes,186–270,20–22,S,363–407,U,10–13,U,2.1–2.9,0–450,0,–
Antillotyphlops,monastus,90–258,20–22,S,329–394,U,12–13,U,2.3–3.4,0–400,0,–
Antillotyphlops,monensis,96–207,18–20,S,299–345,U,7–9,U,1.5–2.6,0–80,0,–
Antillotyphlops,naugus,239–243,20,S,345–390,U,12–14,U,2.6–3.3,0–420,0,–
Antillotyphlops,platycephalus,90–337,20–22,S,350–417,U,11–15,U,2.6–2.7,0–650,0,–
Antillotyphlops,richardi,90–342,20–22,S,300–369,U,12–15,U,2.0–3.3,0–475,0,–
Aparallactus,capensis,90–410,15,S,126–191,E,29–63,1,12.5–25.0,10–2300,0,2–6
Aparallactus,guentheri,126–470,15,S,150–173,E,49–60,1,13.5–23.8,20–2140,0,2–4
Aparallactus,jacksonii,102–302,15,S,134–166,E,33–52,1,13.1–20.0,320–2200,1,2–3
Aparallactus,lunulatus,80–520,15,S,140–177,E,41–77,1,10.6–28.0,5–2400,0,2–7
Aparallactus,moeruensis,85–395,15,S,155–182,E,57–67,1,20.3–22.9,700–1000,0,2–6
Aparallactus,nigriceps,150–300,15,S,108–123,E,20–35,1,10.5–21.8,10–150,0,2–4
Aparallactus,turneri,142–196,15,S,120–139,E,31–42,1,15.8–24.6,0–575,0,–
Aparallactus,werneri,100–390,15,S,139–163,E,32–45,1,11.7–18.6,0–1760,0,2–5
Aplopeltura,boa,207–850,13,S,148–191,E,88–131,1,16.4–35.0,40–1500,0,4–8
Apographon,orestes,515–664,17,S,133–162,D,31–47,2,11.0–13.0,1500–3265,1,–
Apostolepis,adhara,258–293,15,S,238–239,D,36–37,2,8.2–12.0,120,0,–
Apostolepis,albicollaris,174–513,15,S,196–251,D,24–33,2,8.0–11.1,30–1170,0,3
Apostolepis,ambinigra,346–634,15,S,219–244,D,21–33,2,6.4–9.8,85–530,0,–
Apostolepis,ammodites,182–669,15,S,221–252,D,26–36,2,7.0–13.0,195–860,0,3
Apostolepis,arenaria,147–323,15,S,163–181,D,23–31,2,9.2–12.3,485,0,–
Apostolepis,assimilis,150–835,15,S,225–270,D,24–39,2,6.6–10.1,30–880,0,4–6
Apostolepis,barrioi,196–587,15,S,222–256,D,23–35,2,7.7–9.5,100–550,0,–
Apostolepis,borellii,197,15,S,208,D,32,2,16.2,200–1000,0,–
Apostolepis,breviceps,156–392,15,S,218–229,D,29–39,2,8.9–11.7,400,0,–
Apostolepis,cearensis,181–660,15,S,197–248,D,23–36,2,7.3–10.1,30–1000,0,~ 2
Apostolepis,christineae,233–493,15,S,220–243,D,23–30,2,7.1–9.1,105–495,0,–
